# Constructed from biom file
#OTU ID	Amz2adltF.418633	Amz4adltF.418711	Amz4chldM2.418774	Amz5chldF1.418757	Amz5chldF2.418405	Amz5teenF.418519	Amz6chldM.418668	Amz6eldF.418597	Amz6eldM.418356	Amz7eldM.418423	Amz22chld.418485	Amz25chld.418466	Amz26chld.418481	Amz29adlt.418370	Amz30adlt.418837	Amz32eldF.418511	h9M.1.418588	h10M.1.418706	h37M.1.418863	h60M.1.418694	h68M.1.418773	h78M.1.418725	h85M.1.418596	h95M.1.418831	h101M.1.418586	h122M.1.418534	h146M.1.418838	h147M.1.418531	h165M.1.418394	h186M.1.418788	h208M.1.418731	h235M.1.418489	h257M.1.418454	h264M.1.418377	h273M.1.418507	h279M.1.418530	h305M.1.418771	k278A.2.418424	TS1.418828	TS4.418810	TS7.418860	TS13.418619	TS25.418407	TS109.418691	TS111.418684	TS127.418550	TS129.418618	TS163.418636	TS184.418577	TS193.418750	TS195.418848	USchp1Mom.418814	USchp3Child.418614	USchp3Mom.418727	USchp4Mom.418666	USchp18Mom.418783	USchp25Child.418345	USchp25Mom.418780	USchp33ChildB.418578	USchp36Mom.418718
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.0	0.00174520069808	0.0	0.0	0.0	0.000531349628055	0.000702493853179	0.0	0.0036832412523	0.000713266761769	0.0	0.0	0.00132538104705	0.0	0.0039481105471	0.0	0.0	0.0023166023166	0.00129617627997	0.0	0.0	0.0	0.00155520995334	0.00138760407031	0.000469263256687	0.003125	0.000764818355641	0.00318906605923	0.0	0.00199203187251	0.0	0.0026455026455	0.0	0.00176928520878	0.0	0.0	0.0128424657534	0.0	0.00121359223301	0.0	0.0	0.0	0.00286697247706	0.0	0.0	0.000802246289611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000872981230904	0.0	0.0	0.00048007681229	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0.0	0.0	0.000615763546798	0.0	0.000528262017961	0.000531349628055	0.0	0.0	0.0	0.000713266761769	0.0	0.0	0.0	0.0	0.000564015792442	0.00206825232678	0.000501756146513	0.000772200772201	0.000648088139987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000398406374502	0.0	0.0	0.0	0.000353857041755	0.0	0.0	0.0	0.000502260170768	0.0	0.0	0.0	0.0	0.0	0.0	0.000394477317554	0.000401123144805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000436490615452	0.0	0.0	0.0	0.0	0.000448631673396	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000772200772201	0.0	0.0	0.0	0.0	0.0	0.000462534690102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000353857041755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000573394495413	0.0	0.0	0.0	0.0	0.0	0.000423908435778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0.000699790062981	0.0477021524142	0.0215517241379	0.00165562913907	0.0279978869519	0.0212539851222	0.0242360379347	0.0	0.0073664825046	0.00855920114123	0.00471327572663	0.0	0.0337972166998	0.0	0.0473773265651	0.0	0.0	0.0	0.0	0.0	0.000355745286375	0.0	0.0	0.0	0.0	0.0	0.00038240917782	0.0924829157175	0.000374111485223	0.0	0.000380228136882	0.000377928949358	0.00700525394046	0.000353857041755	0.0	0.000425531914894	0.0	0.108488196886	0.00525889967638	0.0158878504673	0.00319926873857	0.0134818288394	0.00573394495413	0.0043795620438	0.00157790927022	0.00481347773767	0.0116541353383	0.0490196078431	0.0	0.0126732673267	0.0	0.0686274509804	0.0260688216893	0.0152771715408	0.02574002574	0.201384881708	0.0681709073452	0.0155902004454	0.0134589502019	0.00511207235549
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	0.000699790062981	0.022687609075	0.00431034482759	0.00165562913907	0.0110935023772	0.0138150903294	0.00878117316473	0.0105900151286	0.00184162062615	0.00570613409415	0.00785545954438	0.00673400673401	0.0192180251822	0.00687757909216	0.0273547659334	0.0124095139607	0.000501756146513	0.00849420849421	0.00583279325988	0.00158646218932	0.00213447171825	0.000526315789474	0.00207361327112	0.00138760407031	0.00328484279681	0.0046875	0.00229445506692	0.00318906605923	0.00149644594089	0.00278884462151	0.00266159695817	0.000755857898715	0.0	0.0031847133758	0.00445930880713	0.0	0.00342465753425	0.00753390256153	0.00364077669903	0.000467289719626	0.0036563071298	0.000586166471278	0.00286697247706	0.00194647201946	0.00788954635108	0.00280786201364	0.0015037593985	0.00401069518717	0.00423908435778	0.0	0.00141793690181	0.00093370681606	0.00260688216893	0.00218245307726	0.0019305019305	0.00115406809002	0.00192030724916	0.00278396436526	0.000897263346792	0.00157294534015
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	0.00699790062981	0.043630017452	0.0012315270936	0.0	0.0147913365029	0.0111583421892	0.00913242009132	0.00302571860817	0.0128913443831	0.0	0.0149253731343	0.003367003367	0.0159045725646	0.0041265474553	0.0205865764241	0.0	0.00250878073256	0.0030888030888	0.00259235255995	0.00158646218932	0.00462468872287	0.00157894736842	0.00673924313116	0.00647548566142	0.00703894885031	0.0109375	0.00917782026769	0.00683371298405	0.0	0.0151394422311	0.00380228136882	0.0309901738473	0.0	0.0297239915074	0.0118914901524	0.00170212765957	0.00684931506849	0.0	0.00364077669903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.00489853044087	0.00349040139616	0.0012315270936	0.00165562913907	0.0026413100898	0.0	0.000702493853179	0.0	0.0036832412523	0.0	0.0117831893166	0.013468013468	0.00331345261763	0.00550206327373	0.0445572476029	0.0351602895553	0.00200702458605	0.0023166023166	0.00194426441996	0.0058170280275	0.00071149057275	0.000526315789474	0.0	0.00185013876041	0.00750821210699	0.00078125	0.0	0.000455580865604	0.00486344930789	0.00278884462151	0.00228136882129	0.00151171579743	0.026707530648	0.000353857041755	0.00148643626904	0.0	0.000856164383562	0.0	0.12783171521	0.440654205607	0.103290676417	0.124267291911	0.130733944954	0.343065693431	0.0990138067061	0.0954673084637	0.164661654135	0.221033868093	0.282323018228	0.112475247525	0.20808224034	0.0742296918768	0.289363920751	0.245744216499	0.264478764479	0.111944604732	0.101296207393	0.18429844098	0.359802602064	0.167518678726
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0.00139958012596	0.0	0.000615763546798	0.00165562913907	0.000528262017961	0.00212539851222	0.00175623463295	0.00151285930408	0.0	0.000713266761769	0.00392772977219	0.0	0.00596421471173	0.019257221458	0.00761421319797	0.0186142709411	0.000501756146513	0.0023166023166	0.0051847051199	0.00158646218932	0.000355745286375	0.00105263157895	0.00207361327112	0.000462534690102	0.0107930549038	0.00234375	0.000764818355641	0.000455580865604	0.003367003367	0.000796812749004	0.000760456273764	0.000755857898715	0.000875656742557	0.00283085633404	0.000743218134522	0.0	0.00171232876712	0.0	0.0186084142395	0.0724299065421	0.0137111517367	0.00468933177022	0.0378440366972	0.0214111922141	0.0189349112426	0.0136381869234	0.0127819548872	0.0	0.00932598558711	0.00831683168317	0.0290677064871	0.016339869281	0.0203336809176	0.0174596246181	0.0328185328185	0.00577034045009	0.0432069131061	0.0139198218263	0.0628084342755	0.0235941801022
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.347095871239	0.0174520069808	0.31342364532	0.342715231788	0.103011093502	0.317747077577	0.182999648753	0.226928895613	0.186003683241	0.206847360913	0.095051060487	0.210437710438	0.130550033135	0.126547455296	0.0439932318105	0.0444674250259	0.292523833417	0.203088803089	0.254050550875	0.142781597039	0.362504446816	0.456315789474	0.252980819077	0.216466234968	0.231346785547	0.26484375	0.247036328872	0.301138952164	0.260381593715	0.234661354582	0.266539923954	0.172335600907	0.350262697023	0.101910828025	0.225938312895	0.291914893617	0.115582191781	0.324962330487	0.0	0.0	0.0973491773309	0.0	0.0	0.0141119221411	0.00512820512821	0.0	0.0	0.0	0.0	0.0182178217822	0.0	0.127450980392	0.0	0.0	0.0	0.00115406809002	0.146903504561	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__RF16	0.00139958012596	0.0	0.0	0.0	0.0	0.0	0.000702493853179	0.0	0.00184162062615	0.0	0.0	0.0	0.0	0.00137551581843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000354484225452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000448631673396	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.0	0.0	0.00184729064039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00112803158488	0.00310237849018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00187705302675	0.0	0.0	0.0	0.000374111485223	0.0	0.0	0.0	0.0	0.0	0.000371609067261	0.0	0.0	0.0	0.0246763754045	0.0107476635514	0.018281535649	0.0111371629543	0.026376146789	0.0136253041363	0.0216962524655	0.0296831127156	0.0357142857143	0.0525846702317	0.00169563374311	0.0138613861386	0.0464374335342	0.016339869281	0.0625651720542	0.0467044958533	0.0019305019305	0.00230813618003	0.00624099855977	0.032293986637	0.0287124270974	0.0483680692096
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7	0.00419874037789	0.0122164048866	0.0	0.00496688741722	0.0200739566825	0.0249734325186	0.0224798033017	0.0105900151286	0.0497237569061	0.000713266761769	0.00549882168107	0.0	0.00198807157058	0.00275103163686	0.0496333897349	0.0330920372285	0.00100351229303	0.0	0.0155541153597	0.000528820729773	0.036997509783	0.00210526315789	0.0352514256091	0.0120259019426	0.00891600187705	0.0015625	0.00229445506692	0.00774487471526	0.00785634118967	0.00478087649402	0.00494296577947	0.00113378684807	0.0	0.126680820948	0.0163507989595	0.000425531914894	0.021404109589	0.000502260170768	0.00849514563107	0.0	0.00685557586837	0.0	0.0	0.000973236009732	0.0118343195266	0.0	0.0	0.0	0.0	0.00316831683168	0.0	0.00746965452848	0.0	0.0	0.0	0.0	0.0	0.0100222717149	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015444015444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00187055742611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0165857605178	0.0088785046729	0.0	0.0052754982415	0.0	0.00778588807786	0.00986193293886	0.0192539109507	0.0	0.0120320855615	0.0	0.0	0.0081531371854	0.0	0.0	0.0	0.0	0.0	0.00240038406145	0.0	0.0	0.0188753440818
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]	0.0	0.000581733566027	0.0012315270936	0.0	0.0	0.000531349628055	0.0	0.0	0.0	0.0	0.0	0.003367003367	0.000662690523526	0.0	0.000564015792442	0.0	0.0	0.0	0.0	0.000528820729773	0.00071149057275	0.0	0.000518403317781	0.0	0.0	0.0	0.000764818355641	0.000455580865604	0.000374111485223	0.000398406374502	0.000380228136882	0.0	0.000437828371278	0.0	0.000371609067261	0.0	0.00171232876712	0.0	0.00485436893204	0.0018691588785	0.0036563071298	0.00234466588511	0.00172018348624	0.00486618004866	0.000394477317554	0.00320898515844	0.0015037593985	0.00133689839572	0.0	0.000792079207921	0.00354484225452	0.00280112044818	0.0	0.00829332169358	0.000643500643501	0.0	0.00096015362458	0.0022271714922	0.00762673844773	0.000786472670075
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]	0.156752974108	0.0343222803956	0.0277093596059	0.0248344370861	0.0343370311675	0.0159404888417	0.0210748155954	0.0196671709531	0.00920810313076	0.0206847360913	0.000785545954438	0.003367003367	0.0119284294235	0.0178817056396	0.0363790186125	0.00413650465357	0.0316106372303	0.0162162162162	0.0155541153597	0.00898995240613	0.0217004624689	0.00684210526316	0.0243649559357	0.0171137835338	0.00750821210699	0.01640625	0.0202676864245	0.0337129840547	0.0329218106996	0.0274900398406	0.0114068441065	0.0366591080877	0.00131348511384	0.00283085633404	0.0297287253809	0.0195744680851	0.00171232876712	0.0723254645907	0.0	0.0	0.00319926873857	0.0	0.0	0.000973236009732	0.0319526627219	0.0	0.0	0.0	0.0	0.0	0.0	0.00046685340803	0.0	0.00305543430816	0.0032175032175	0.00577034045009	0.00432069131061	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__p-2534-18B5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00185804533631	0.0	0.0316780821918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__	0.00279916025192	0.00116346713205	0.00369458128079	0.023178807947	0.00105652403592	0.00159404888417	0.0	0.0	0.00184162062615	0.0	0.00157109190888	0.00673400673401	0.0	0.0	0.000564015792442	0.0186142709411	0.0	0.0030888030888	0.0123136746598	0.0523532522475	0.019921736037	0.00473684210526	0.00933125972006	0.00277520814061	0.00140778977006	0.015625	0.00611854684512	0.00592255125285	0.0142162364385	0.0107569721116	0.0243346007605	0.00831443688587	0.0	0.0	0.00445930880713	0.0063829787234	0.000856164383562	0.0160723254646	0.0	0.0	0.0	0.000586166471278	0.0	0.0	0.0	0.0	0.000375939849624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000377928949358	0.0	0.0	0.0	0.0	0.000856164383562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae	0.0	0.0	0.0	0.0	0.0	0.00212539851222	0.0	0.0	0.0	0.0	0.0	0.0	0.00596421471173	0.0	0.0	0.0	0.0	0.000772200772201	0.00129617627997	0.0	0.00071149057275	0.0	0.00155520995334	0.000462534690102	0.000938526513374	0.0015625	0.00650095602294	0.0	0.0	0.00876494023904	0.015969581749	0.000377928949358	0.0	0.0	0.00260126347083	0.0	0.000856164383562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000564015792442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000380228136882	0.0	0.0	0.000353857041755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000662690523526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00137551581843	0.000846023688663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	0.0	0.0	0.000615763546798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000502260170768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000380228136882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039603960396	0.000354484225452	0.0	0.0	0.0	0.000643500643501	0.0	0.0	0.000556792873051	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__	0.0	0.065735892961	0.0	0.0	0.0	0.000531349628055	0.000351246926589	0.0347957639939	0.0	0.00641940085592	0.0	0.0	0.0298210735586	0.0	0.0	0.0	0.00301053687908	0.0	0.0	0.0	0.0	0.00210526315789	0.0	0.0	0.000469263256687	0.0	0.00038240917782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000371609067261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00225563909774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	0.0	0.000581733566027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000423908435778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	0.00139958012596	0.00116346713205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000751879699248	0.0	0.000423908435778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	0.0	0.0389761489238	0.0	0.0	0.0	0.0	0.0	0.0151285930408	0.0	0.000713266761769	0.0	0.0	0.00994035785288	0.0	0.000282007896221	0.0	0.00100351229303	0.000772200772201	0.0	0.0	0.0	0.00263157894737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000380228136882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000394477317554	0.0	0.00300751879699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0.0	0.00116346713205	0.0	0.0	0.000528262017961	0.0	0.0031612223393	0.0	0.0	0.00142653352354	0.0	0.0	0.0026507620941	0.0	0.0245346869712	0.00103412616339	0.0145509282489	0.0030888030888	0.000648088139987	0.000528820729773	0.0	0.0	0.000518403317781	0.0	0.0	0.0	0.00038240917782	0.0191343963554	0.0	0.000398406374502	0.0	0.0	0.00831873905429	0.0	0.000371609067261	0.00425531914894	0.0	0.0120542440984	0.0	0.0	0.0	0.000586166471278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00173110213503	0.0	0.0	0.0	0.0
